LotFrontage,LotArea,OverallQual,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,MSSubClass_30,MSSubClass_60,MSZoning_RL,MSZoning_RM,LotShape_Reg,LotShape_IR1,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_BrkFace,MasVnrType_Stone,MasVnrType_None,ExterQual_Gd,ExterQual_TA,ExterQual_Ex,Foundation_PConc,Foundation_CBlock,Foundation_BrkTil,BsmtQual_Ex,BsmtQual_Gd,BsmtQual_TA,BsmtExposure_No,BsmtExposure_Gd,BsmtFinType1_GLQ,HeatingQC_Ex,HeatingQC_TA,CentralAir_N,Electrical_SBrkr,KitchenQual_Gd,KitchenQual_TA,KitchenQual_Ex,FireplaceQu_Ex,FireplaceQu_Gd,FireplaceQu_NA,GarageType_Attchd,GarageType_Detchd,GarageType_BuiltIn,GarageType_NA,GarageFinish_Unf,GarageFinish_Fin,GarageQual_TA,GarageCond_TA,PavedDrive_Y,PavedDrive_N,SaleType_WD,SaleType_New,SaleCondition_Partial
70,11200,5,0,906,134,1040,1040,0,1040,1,1,0,5,0,1,384,0,0,129500,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
85,11924,9,286,998,177,1175,1182,1142,2324,1,3,0,11,2,3,736,147,21,345000,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
0,12968,5,0,737,175,912,912,0,912,1,1,0,4,0,1,352,140,0,144000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
91,10652,7,306,0,1494,1494,1494,0,1494,0,2,0,7,1,3,840,160,33,279500,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1
0,10920,6,212,733,520,1253,1253,0,1253,1,1,1,5,1,1,352,0,213,157000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
51,6120,7,0,0,832,832,854,0,854,0,1,0,5,0,2,576,48,112,132000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
0,11241,6,180,578,426,1004,1004,0,1004,1,1,0,5,1,2,480,0,0,149000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
72,10791,4,0,0,0,0,1296,0,1296,0,2,0,6,0,2,516,0,0,90000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
66,13695,5,0,646,468,1114,1114,0,1114,1,1,1,6,0,2,576,0,102,159000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
70,7560,5,0,504,525,1029,1339,0,1339,0,1,0,6,0,1,294,0,0,139000,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0
101,14215,8,380,0,1158,1158,1158,1218,2376,0,3,1,9,1,3,853,240,154,325300,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1
57,7449,7,0,0,637,637,1108,0,1108,0,1,0,6,1,1,280,0,0,139400,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
75,9742,8,281,0,1777,1777,1795,0,1795,0,2,0,7,1,2,534,171,159,230000,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
44,4224,5,0,840,200,1040,1060,0,1060,1,1,0,6,1,2,572,100,110,129900,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
0,8246,5,0,188,204,1060,1060,0,1060,1,1,0,6,1,1,270,406,90,154000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0
110,14230,8,640,0,1566,1566,1600,0,1600,0,2,0,7,1,3,890,0,56,256300,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
60,7200,5,0,234,180,900,900,0,900,0,1,0,5,0,2,576,222,32,134800,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
98,11478,8,200,1218,486,1704,1704,0,1704,1,2,0,7,1,3,772,0,50,306000,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
47,16321,5,0,1277,207,1484,1600,0,1600,1,1,0,6,2,1,319,288,258,207500,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
60,6324,4,0,0,520,520,520,0,520,0,1,0,4,0,1,240,49,0,68500,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
50,8500,4,0,0,649,649,649,668,1317,0,1,0,6,0,1,250,0,54,40000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
0,8544,5,0,0,1228,1228,1228,0,1228,0,1,1,6,0,1,271,0,65,149350,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
85,11049,8,0,0,1234,1234,1234,0,1234,0,2,0,7,0,2,484,0,30,179900,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
70,10552,5,0,1018,380,1398,1700,0,1700,0,1,1,6,1,2,447,0,38,165500,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
60,7313,9,246,1153,408,1561,1561,0,1561,1,2,0,6,1,2,556,203,47,277500,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0
108,13418,8,132,0,1117,1117,1132,1320,2452,0,3,1,9,1,3,691,113,32,309000,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0
112,10859,5,0,0,1097,1097,1097,0,1097,0,1,1,6,0,2,672,392,64,145000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
74,8532,5,650,1213,84,1297,1297,0,1297,0,1,0,5,1,2,498,0,0,153000,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
68,7922,5,0,731,326,1057,1057,0,1057,1,1,0,5,0,1,246,0,52,109000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
65,6040,4,0,0,0,0,1152,0,1152,0,2,0,6,0,0,0,0,0,82000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
84,8658,6,101,643,445,1088,1324,0,1324,0,2,0,6,1,2,440,0,138,160000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
115,16905,5,0,967,383,1350,1328,0,1328,0,1,1,5,2,1,308,0,104,170000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
0,9180,5,0,747,0,840,884,0,884,1,1,0,5,0,2,504,240,0,144000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
0,9200,5,0,280,167,938,938,0,938,1,1,0,5,0,1,308,145,0,130250,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
70,7945,5,0,179,465,1150,1150,0,1150,1,1,0,6,0,1,300,0,0,141000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
61,7658,9,412,456,1296,1752,1752,0,1752,1,2,0,6,1,2,576,196,82,319900,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
48,12822,7,0,1351,83,1434,1518,631,2149,1,1,1,6,1,2,670,168,43,239686,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
84,11096,8,0,24,1632,1656,1656,0,1656,0,2,0,7,0,3,826,0,146,249700,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
33,4456,4,0,0,736,736,736,716,1452,0,2,0,8,0,0,0,0,0,113000,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
66,7742,5,0,763,192,955,955,0,955,1,1,0,6,0,1,386,0,0,127000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
0,13869,6,0,182,612,794,794,676,1470,0,2,0,6,0,2,388,0,75,177000,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
52,6240,6,0,0,816,816,816,0,1176,0,1,0,6,1,2,528,112,0,114500,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0
110,8472,5,0,104,0,816,816,0,816,1,1,0,5,0,2,516,106,0,110000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
68,50271,9,0,1810,32,1842,1842,0,1842,2,0,1,5,1,3,894,857,72,385000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0
60,7134,5,0,384,0,384,1360,0,1360,0,1,0,6,1,2,572,0,50,130000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0
100,10175,6,272,490,935,1425,1425,0,1425,0,2,0,7,1,2,576,0,0,180500,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
24,2645,8,456,649,321,970,983,756,1739,1,2,1,7,0,2,480,115,0,172500,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
89,11645,7,0,0,860,860,860,860,1720,0,2,1,7,0,2,565,0,70,196500,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
66,13682,10,1031,0,1410,1410,1426,1519,2945,0,3,1,10,1,3,641,192,0,438780,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
60,7200,5,0,632,148,780,780,0,780,0,1,0,4,0,1,352,196,0,124900,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
63,13072,6,0,941,217,1158,1158,0,1158,1,1,1,5,0,2,576,0,50,158000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
60,7200,5,0,0,530,530,581,530,1111,0,1,0,6,0,1,288,0,0,101000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0
44,6442,8,178,24,1346,1370,1370,0,1370,0,2,0,6,1,2,484,120,49,202500,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
50,10300,7,0,0,576,576,902,808,1710,0,2,0,9,0,2,480,12,11,140000,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
0,9375,7,573,739,318,1057,1057,977,2034,1,2,1,8,0,2,645,576,36,219500,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
76,9591,8,344,0,1143,1143,1143,1330,2473,0,2,1,9,1,3,852,192,151,317000,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
0,19900,7,287,912,1035,1947,2207,0,2207,1,2,0,7,1,2,576,301,0,180000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
72,10665,7,167,1013,440,1453,1479,0,1479,1,2,0,7,0,2,558,144,29,226000,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
47,4608,4,0,0,747,747,747,0,747,0,1,0,4,0,1,220,0,0,80000,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
81,15593,7,0,603,701,1304,1304,983,2287,0,2,0,7,1,2,667,0,21,225000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
95,13651,7,1115,1880,343,2223,2223,0,2223,1,2,0,8,2,2,516,300,0,244000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0
69,7599,4,0,565,280,845,845,0,845,1,1,0,4,0,2,360,0,0,129500,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
74,10141,7,40,0,832,832,885,833,1718,0,2,1,7,1,2,427,0,94,185000,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
85,10200,5,104,320,404,1086,1086,0,1086,1,1,0,6,0,2,490,0,0,144900,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
60,5790,3,0,0,840,840,840,765,1605,0,2,0,8,0,1,379,0,0,107400,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
21,1596,4,0,462,0,462,526,462,988,1,1,0,5,0,1,297,120,101,91000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0
0,8475,4,0,228,724,952,952,0,952,0,1,0,4,0,1,283,0,0,135750,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
50,8635,5,0,336,295,672,1072,213,1285,1,1,0,6,0,1,240,0,0,127000,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
72,10778,4,0,0,1768,1768,1768,0,1768,0,2,0,8,0,0,0,0,0,136500,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
60,10440,5,0,0,440,440,682,548,1230,0,1,1,5,0,2,440,74,0,110000,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
100,13000,6,576,448,448,896,1182,960,2142,0,2,1,8,1,1,509,0,72,193500,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0
32,4500,6,443,1201,36,1237,1337,0,1337,1,2,0,5,0,2,405,0,199,153500,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
78,10206,8,468,33,1530,1563,1563,0,1563,0,2,0,6,1,3,758,144,99,245000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
80,8892,5,66,0,1065,1065,1065,0,1065,0,1,1,6,0,2,461,74,0,126500,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0
